,Topic,Count,Name
0,-1,298,-1_wfh_for_workingfromhome_have
1,0,107,0_covid19_workingfromhome_home_for
2,1,68,1_wfh_when_no_was
3,2,64,2_workingfromhome_while_we_love
4,3,53,3_riverdale_isolation_torontophoto_leslieville
5,4,48,4_home_from_working_wfh
6,5,35,5_catsoftwitter_lifeinthecatlane_pugwashformaldehyde_catsofinstagram
7,6,29,6_zoom_camera_video_join
8,7,27,7_socialdistancing_socialdistanacing_amp_we
9,8,21,8_coffee_nespresso_water_morningrituals
10,9,19,9_linashek_fashion_model_ootd
11,10,17,10_ootd_bandtee_west_queen
12,11,13,11_toronto_will_great_ev
13,12,13,12_foodshare_foodstagram_west_lunch
